Temp_C,Pressure_bar,Conc_IBPE,Conc_Pd,Time_h,Solvent_to_reactant,N_rpm,yCO,P_CO_bar,kLa_proxy,Pd_deact_factor,Conversion_pct,Selectivity_pct,Yield_pct,Stage,Cost_index,Severity_index
123.3321,55.557,0.7945,0.007,2.1515,6.1898,1093.8229,0.5894,32.742489808469564,2.0994693166525003,1.0,94.00623214137867,92.7141411418228,87.15707074966744,2,0.5234094495759684,0.6226296088853747
118.2217,46.7719,0.6788,0.0046,2.5152,5.7483,1165.0497,0.7659,35.82174846566885,2.0230479716793788,1.0,91.21324405706372,95.19241684982244,86.82809150504598,2,0.3984825217754464,0.5526567091712771
122.5769,40.1501,0.8961,0.0078,2.2152,4.4309,938.493,0.7474,30.009981342777515,1.4967847077471794,1.0,94.15518738753136,92.10792984032466,86.72439393993359,2,0.5017194047005962,0.5411983425711631
114.1714,68.6708,0.7697,0.0076,2.1356,5.7289,934.6542,0.5548,38.099949362622624,1.942993530244692,1.0,91.47985584806388,94.6210679420822,86.55921655531537,2,0.5550750701020152,0.6203506407325516
116.6494,68.8729,0.9824,0.0067,2.0235,5.3874,813.6248,0.5478,37.727482742026936,1.7219436799730845,1.0,92.15091687237812,93.91615333315188,86.54459638776794,1,0.4787296118267553,0.6406252281877088
123.553,47.5786,0.8815,0.0071,2.1824,3.2892,1132.1411,0.6604,31.41965096029901,1.5941972807768692,1.0,93.2662623207712,92.64722381976836,86.40860280065718,2,0.47489504220027834,0.5858678365343299
127.6717,47.7792,0.4751,0.0092,1.8665,4.0357,1019.2122,0.4394,20.993062902148694,1.6094630632300413,1.0,94.27766217473568,91.44014231468076,86.20762846353227,1,0.5861384368116082,0.5862947572928766
129.3347,44.0848,0.7472,0.0034,3.1829,3.9236,726.998,0.5747,25.335409475235465,1.226272900431331,0.958563649405573,93.03260862854772,92.51576785004124,86.06983222362466,1,0.29337332459408244,0.5987944363460229
122.1538,51.5613,0.6745,0.0064,2.1806,5.4353,1130.4597,0.6864,35.39022960274858,1.994435353321973,1.0,91.8912370929264,93.61643417238398,86.02529948328873,2,0.4760108298341914,0.604511812961543
123.4255,49.8058,0.4745,0.006,2.412,4.9533,960.7865,0.7326,36.4900440012044,1.6972067839004776,1.0,92.09277905418152,93.10740633681372,85.74519800084084,1,0.43595324323294543,0.6112517895278242
125.7953,32.2314,0.7899,0.0061,2.0283,7.101,1077.8256,0.7772,25.05131698139012,1.864452664476942,1.0,91.04346420864528,94.13749092433704,85.7060328566155,1,0.439473702390729,0.5175521756522528
